State;Rates;Brackets;Standard Deduction;Personal Exemption;;;;;;;;
Maryland;5.00%;$100,000;$2,700;$3,200;;;;;;;;
Maryland;5.25%;$125,000;$2,700;$3,200;;;;;;;;
Maryland;5.50%;$150,000;$2,700;$3,200;;;;;;;;
Maryland;5.75%;$250,000;$2,700;$3,200;;;;;;;;
Massachusetts;5.00%;$0;0;$4,400;;;;;;;;
Massachusetts;9.00%;$1,083,150 ;0;$4,400;;;;;;;;
Michigan;4.25%;$0;0;$5,800;;;;;;;;
Minnesota;5.35%;$0;$14,950;$0;;;;;;;;
Minnesota;6.80%;$32,570;$14,950;$0;;;;;;;;
Minnesota;7.85%;$106,990;$14,950;$0;;;;;;;;
Minnesota;9.85%;$198,630;$14,950;$0;;;;;;;;
Mississippi;4.40%;$10,000;$2,300;$6,000;;;;;;;;
Missouri;2.00%;$1,313;$15,000;$0;;;;;;;;
Missouri;2.50%;$2,626;$15,000;$0;;;;;;;;
Missouri;3.00%;$3,939;$15,000;$0;;;;;;;;
Missouri;3.50%;$5,252;$15,000;$0;;;;;;;;
Missouri;4.00%;$6,565;$15,000;$0;;;;;;;;
Missouri;4.50%;$7,878;$15,000;$0;;;;;;;;
Missouri;4.70%;$9,191;$15,000;$0;;;;;;;;
Montana;4.70%;$0;$15,000;$0;;;;;;;;
Montana;5.90%;$21,100;$15,000;$0;;;;;;;;
Nebraska;2.46%;$0;$8,600;$171 credit;;;;;;;;
Nebraska;3.51%;$4,030;$8,600;$171 credit;;;;;;;;
Nebraska;5.01%;$24,120;$8,600;$171 credit;;;;;;;;
Nebraska;5.20%;$38,870;$8,600;$171 credit;;;;;;;;
Nevada;0;0;0;0;;;;;;;;
New Hampshire;0;0;0;0;;;;;;;;
New Jersey;1.400%;$0;0;$1,000;;;;;;;;
New Jersey;1.750%;$20,000;0;$1,000;;;;;;;;
New Jersey;3.500%;$35,000;0;$1,000;;;;;;;;
New Jersey;5.525%;$40,000;0;$1,000;;;;;;;;
New Jersey;6.370%;$75,000;0;$1,000;;;;;;;;
New Jersey;8.970%;$500,000;0;$1,000;;;;;;;;
New Jersey;10.750%;$1,000,000;0;$1,000;;;;;;;;
New Mexico;1.50%;$0;$15,000;0;;;;;;;;
New Mexico;3.20%;$5,500;$15,000;0;;;;;;;;
New Mexico;4.30%;$16,500;$15,000;0;;;;;;;;
New Mexico;4.70%;$33,500;$15,000;0;;;;;;;;
New Mexico;4.90%;$66,500;$15,000;0;;;;;;;;
New Mexico;5.90%;$210,000;$15,000;0;;;;;;;;
New York;4.00%;$0;$8,000;0;;;;;;;;
New York;4.50%;$8,500;$8,000;0;;;;;;;;
New York;5.25%;$11,700;$8,000;0;;;;;;;;
New York;5.50%;$13,900;$8,000;0;;;;;;;;
New York;6.00%;$80,650;$8,000;0;;;;;;;;
New York;6.85%;$215,400;$8,000;0;;;;;;;;
New York;9.65%;$1,077,550;$8,000;0;;;;;;;;
New York;10.30%;$5,000,000;$8,000;0;;;;;;;;
New York;10.90%;$25,000,000;$8,000;0;;;;;;;;
North Carolina;4.25%;$0;$12,750;0;;;;;;;;
North Dakota;1.95%;$48,475;$15,000;0;;;;;;;;
North Dakota;2.50%;$244,825;$15,000;0;;;;;;;;
Ohio;2.750%;$26,050;0;$2,400;;;;;;;;
Ohio;3.500%;$100,000;0;$2,400;;;;;;;;
Oklahoma;0.25%;$0;$6,350;$1,000;;;;;;;;
Oklahoma;0.75%;$1,000;$6,350;$1,000;;;;;;;;
Oklahoma;1.75%;$2,500;$6,350;$1,000;;;;;;;;
Oklahoma;2.75%;$3,750;$6,350;$1,000;;;;;;;;
Oklahoma;3.75%;$4,900;$6,350;$1,000;;;;;;;;
Oklahoma;4.75%;$7,200;$6,350;$1,000;;;;;;;;
Oregon;4.75%;$0;$2,800;$250 credit;;;;;;;;
Oregon;6.75%;$4,400;$2,800;$250 credit;;;;;;;;
Oregon;8.75%;$11,050;$2,800;$250 credit;;;;;;;;
Oregon;9.90%;$125,000;$2,800;$250 credit;;;;;;;;
Pennsylvania;3.07%;$0;0;0;;;;;;;;
Rhode Island;3.75%;$0;$10,900;$5,100;;;;;;;;
Rhode Island;4.75%;$79,900;$10,900;$5,100;;;;;;;;
Rhode Island;5.99%;$181,650;$10,900;$5,100;;;;;;;;
South Carolina;0.00%;$0;$15,000;$0;;;;;;;;
South Carolina;3.00%;$3,560;$15,000;$0;;;;;;;;
South Carolina;6.20%;$17,830;$15,000;$0;;;;;;;;
South Dakota;0;0;0;0;;;;;;;;
Tennessee;0;0;0;0;;;;;;;;
Texas;0;0;0;0;;;;;;;;
Utah ;4.55%;$0;$900 credit;0;;;;;;;;
Vermont;3.35%;$0;$7,400;$5,100;;;;;;;;
Vermont;6.60%;$47,900;$7,400;$5,100;;;;;;;;
Vermont;7.60%;$116,000;$7,400;$5,100;;;;;;;;
Vermont;8.75%;$242,000;$7,400;$5,100;;;;;;;;
Virginia;2.00%;$0;$8,500;$930;;;;;;;;
Virginia;3.00%;$3,000;$8,500;$930;;;;;;;;
Virginia;5.00%;$5,000;$8,500;$930;;;;;;;;
Virginia;5.75%;$17,000;$8,500;$930;;;;;;;;
Washington;0;0;$270,000;0;;;;;;;;
West Virginia;2.22%;$0;0;$2,000;;;;;;;;
West Virginia;2.96%;$10,000;0;$2,000;;;;;;;;
West Virginia;3.33%;$25,000;0;$2,000;;;;;;;;
West Virginia;4.44%;$40,000;0;$2,000;;;;;;;;
West Virginia;4.82%;$60,000;0;$2,000;;;;;;;;
Wisconsin;3.50%;$0;$13,560;$700;;;;;;;;
Wisconsin;4.40%;$14,680;$13,560;$700;;;;;;;;
Wisconsin;5.30%;$29,370;$13,560;$700;;;;;;;;
Wisconsin;7.65%;$323,290;$13,560;$700;;;;;;;;
Wyoming;0;0;0;0;;;;;;;;
District of Columbia;4.00%;$0;$15,000;0;;;;;;;;
District of Columbia;6.00%;$10,000;$15,000;0;;;;;;;;
District of Columbia;6.50%;$40,000;$15,000;0;;;;;;;;
District of Columbia;8.50%;$60,000;$15,000;0;;;;;;;;
District of Columbia;9.25%;$250,000;$15,000;0;;;;;;;;
District of Columbia;9.75%;$500,000;$15,000;0;;;;;;;;
District of Columbia;10.75%;$1,000,000;$15,000;0;;;;;;;;
